compound_id,smiles_std,in_AD_maccs,ad_dist_maccs,maccs_model_top1,maccs_prob_top1,maccs_pred_top1,maccs_top3_votes,in_AD_mordred,ad_dist_mordred,mordred_model_top1,mordred_prob_top1,mordred_pred_top1,mordred_top3_votes,in_AD_ambos,activo_ambos_top1,candidato_MoA_FP2,prob_media
gallinamide_analogo_novo_17,C[C@@H](/C=C/C(N1[C@@H](C)C(OC)=CC1=O)=O)NC([C@H](CC(C)C)NC([C@H](CC(C)C)OC([C@H]([C@H](CC)C)N(C)C)=O)=O)=O,True,5.0531027461209135,SVM_RBF,0.8227927081109536,1,3,True,4.759763759275697,KNeighbors,1.0,1,3,True,True,True,0.9113963540554768
gallinamide_analogo_novo_19,CN([C@H](C(O[C@H](C(N[C@H](C(N[C@H](/C=C/C(N1C(C=C([C@@H]1CC(C)C)OC)=O)=O)C)=O)CC(C)C)=O)CC(C)C)=O)[C@H](CC)C)C,True,5.0531027461209135,SVM_RBF,0.8227927081109536,1,3,True,8.247218738064268,KNeighbors,1.0,1,3,True,True,True,0.9113963540554768
gallinamide_analogo_novo_1,CN(C)[C@@H]([C@H](CC)C)C(O[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](C)/C=C/C(N1C(C=C(OC)[C@@H]1C)=O)=O)=O)=O)=O,True,5.0531027461209135,SVM_RBF,0.8227927081109536,1,3,True,4.759763734592787,KNeighbors,1.0,1,3,True,True,True,0.9113963540554768
gallinamide_analogo_novo_5,CN(C)[C@@H]([C@@H](C)CC)C(O[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](C)/C=C/C(N1C(C=C(OC)[C@@H]1CC(C)C)=O)=O)=O)=O)=O,True,5.0531027461209135,SVM_RBF,0.8227927081109536,1,3,True,8.247218738064271,KNeighbors,1.0,1,3,True,True,True,0.9113963540554768
gallinamide_an alogo_novo_29,C[C@@H](/C=C/C(N1[C@@H](CC2=CNC3=C2C=CC=C3)C(OC)=CC1=O)=O)NC([C@H](CCC4=CC=CC=C4)NC([C@H](CC5CCCCC5)NC([C@H](C(C)C)N(C)C)=O)=O)=O,True,3.134589980005412,SVM_RBF,0.82268697829644,1,3,True,4.736463384804858,KNeighbors,1.0,1,3,True,True,True,0.9113434891482199
gallinamide_analogo_novo_ 11,CN(C)[C@@H](C(C)C)C(O[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CC1=CC=CC=C1)/C=C/C(N2C(C=C(OC)[C@@H]2CC(C)C)=O)=O)=O)=O)=O,True,6.04648726939517,SVM_RBF,0.8116667555261523,1,3,True,7.906254235713332,KNeighbors,1.0,1,3,True,True,True,0.9058333777630762
gallinamide_analogo_novo_ 3,CN(C)[C@@H]([C@H](CC)C)C(O[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](C)/C=C/C(N1C(C=C(OC)[C@@H]1CC2=CC=CC=C2)=O)=O)=O)=O)=O,True,7.044618224563005,SVM_RBF,0.8045351211428038,1,3,True,6.929622524358942,KNeighbors,1.0,1,3,True,True,True,0.9022675605714019
gallinamide_analog o_novo_10,CN(C)[C@@H]([C@@H](C)CC)C(O[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CC1=CC=CC=C1)/C=C/C(N2C(C=C(OC)[C@@H]2CC(C)C)=O)=O)=O)=O)=O,True,7.044618224563005,SVM_RBF,0.8045351211428038,1,3,True,8.49895874979903,KNeighbors,1.0,1,3,True,True,True,0.9022675605714019
gallinamide_analogo_nov o_6,CN(C)[C@@H]([C@@H](C)CC)C(O[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CC1=CC=CC=C1)/C=C/C(N2C(C=C(OC)[C@@H]2C)=O)=O)=O)=O)=O,True,7.044618224563005,SVM_RBF,0.8045351211428038,1,3,True,6.768119160366664,KNeighbors,1.0,1,3,True,True,True,0.9022675605714019
gallin amide_analogo_novo_32,O=C1N(C(/C=C/[C@H](CCC2=CC=CC=C2)NC([C@H](CC(C)C)NC([C@H](CC(C)C)NC([C@H](C(C)C)N(C)C)=O)=O)=O)=O)C(CC3=CC=C(C4=CC=C(C(F)(F)F)C=C4)C=C3)C(OC)=C1,True,7.765136280401346,SVM_RBF,0.9362280473397039,1,3,True,12.113879547216422,KNeighbors,0.8571428571428571,1,3,True,True,True,0.8966854522412805
