Molecule ChEMBL ID,smiles_std,in_AD_maccs,ad_dist_maccs,maccs_model_top1,maccs_prob_top1,maccs_pred_top1,maccs_top3_votes,in_AD_mordred,ad_dist_mordred,mordred_model_top1,mordred_prob_top1,mordred_pred_top1,mordred_top3_votes,in_AD_ambos,activo_ambos_top1,candidato_MoA_FP2,prob_media
CHEMBL570030,CO[C@@H]1[C@H](OC(=O)N[C@@H](C(=O)NCCCN(C)C)C(C)C)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C,True,13.306377485947507,SVM_RBF,0.5161629395301228,1,2,True,14.82768943309027,KNeighbors,1.0,1,2,True,True,True,0.7580814697650614
CHEMBL3221879,C[C@@H]1CC[C@H]2[C@@H](C)C(Oc3ccc(Cl)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,True,12.426111773739708,SVM_RBF,0.5152359952165878,1,3,True,9.24629311020748,KNeighbors,1.0,1,1,True,True,True,0.757617997608294
CHEMBL522484,C[C@H]1[C@@H](CCNCCCNc2ccnc3cc(Cl)ccc23)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,True,11.073199787044931,SVM_RBF,0.5108723317092396,1,3,True,8.479866985331492,KNeighbors,1.0,1,3,True,True,True,0.7554361658546198
CHEMBL2041993,CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(S(C)(=O)=O)cc3)c2)cc1,True,12.811359188980251,SVM_RBF,0.5075762780354367,1,2,True,14.729247895727923,KNeighbors,1.0,1,1,True,True,True,0.7537881390177184
CHEMBL581358,CCCCOc1ccc(C(=O)C(CCC(CNC(C)(C)C)C(=O)c2ccc(OCCCC)cc2)CNC(C)(C)C)cc1,True,11.737731523683147,SVM_RBF,0.649665384775959,1,2,True,13.356028842645191,KNeighbors,0.8571428571428571,1,2,True,True,True,0.753404120959408
CHEMBL5284641,C[C@@H]1CC[C@H]2[C@@H](C)C(OCCC(CCCNc3ccnc4ccc(Cl)cc34)CCOC3O[C@@H]4O[C@]5(C)CC[C@@H]6[C@@H](C)CC[C@H]([C@@H]3C)[C@]46OO5)O[C@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,True,9.48904693612565,SVM_RBF,0.5,1,3,True,13.464941475642481,KNeighbors,1.0,1,3,True,True,True,0.75
CHEMBL1770673,C[C@H]1[C@@H](OC(=O)CCNCCCCNc2ccnc3cc(Cl)ccc23)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,True,10.556754025164427,SVM_RBF,0.5,1,3,True,13.095178557425438,KNeighbors,1.0,1,3,True,True,True,0.75
CHEMBL88744,C[C@@H]1CC[C@H]2[C@](C)(Br)[C@@H](Nc3ncccn3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,True,12.83091076854769,SVM_RBF,0.5,1,2,True,14.619218114000665,KNeighbors,1.0,1,1,True,True,True,0.75
CHEMBL4642140,C[C@@H]1CC[C@H]2[C@](C)(Br)[C@@H](Nc3ncccn3)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4,True,12.83091076854769,SVM_RBF,0.5,1,2,True,14.619218114000665,KNeighbors,1.0,1,1,True,True,True,0.75
CHEMBL5268321,C[C@@H]1CC[C@@H]2[C@]34OO[C@@](C)(CC[C@@H]13)O[C@H]4OC(Nc1ncccn1)[C@@]2(C)Br,True,12.83091076854769,SVM_RBF,0.5,1,2,True,14.619218114000068,KNeighbors,1.0,1,1,True,True,True,0.75
